label,source,video_path,start_frame,end_frame,length_frames,duration_sec,fps,signer_id,has_video,video_width,video_height
drink,aslbrick,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\69302.mp4,1,77.0,77.0,2.569,29.97002997002997,115,True,1920.0,1080.0
drink,aslsignbank,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\65539.mp4,1,44.0,44.0,1.835,23.97616914097503,94,True,656.0,370.0
drink,startasl,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\17710.mp4,1,70.0,70.0,2.336,29.97,36,True,736.0,414.0
drink,aslsearch,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\17733.mp4,1,93.0,93.0,3.07,30.296090174893205,12,True,720.0,400.0
drink,aslsignbank,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\65540.mp4,1,46.0,46.0,1.919,23.976093402520384,94,True,656.0,370.0
drink,aslsearch,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\17734.mp4,1,89.0,89.0,2.936,30.31091262400709,12,True,720.0,400.0
drink,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\17711.mp4,1,81.0,81.0,2.703,29.97002997002997,52,True,854.0,480.0
drink,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\17712.mp4,1,43.0,43.0,1.793,23.97606111107669,6,True,1920.0,1080.0
drink,asldeafined,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\17713.mp4,1,91.0,91.0,3.033,30.0,21,True,640.0,480.0
drink,spreadthesign,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\17709.mp4,1,105.0,105.0,4.2,25.0,2,True,320.0,240.0
drink,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\17720.mp4,1,41.0,41.0,1.368,29.97,11,True,288.0,192.0
drink,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\17721.mp4,1,49.0,49.0,1.635,29.97,10,True,288.0,192.0
drink,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\17722.mp4,1,49.0,49.0,1.635,29.97,10,True,288.0,192.0
drink,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\17723.mp4,1,60.0,60.0,2.002,29.97,10,True,288.0,192.0
drink,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\17724.mp4,1,30.0,30.0,1.001,29.97,11,True,288.0,192.0
computer,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\12328.mp4,1,88.0,88.0,2.936,29.97,11,True,288.0,192.0
computer,startasl,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\12312.mp4,1,101.0,101.0,3.37,29.97002997002997,38,True,1280.0,720.0
computer,spreadthesign,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\12311.mp4,1,72.0,72.0,2.402,29.97,56,True,320.0,240.0
computer,aslsearch,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\12338.mp4,1,107.0,107.0,3.537,30.2530212549175,41,True,720.0,400.0
computer,startasl,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\12313.mp4,1,81.0,81.0,2.703,29.97002997002997,38,True,1280.0,720.0
computer,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\12314.mp4,1,43.0,43.0,1.435,29.97002997002997,4,True,1920.0,1080.0
computer,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\12315.mp4,1,57.0,57.0,1.902,29.97002997002997,4,True,1920.0,1080.0
computer,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\12316.mp4,1,43.0,43.0,1.435,29.97002997002997,4,True,1920.0,1080.0
computer,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\12317.mp4,1,53.0,53.0,1.768,29.97002997002997,4,True,1920.0,1080.0
computer,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\12318.mp4,1,45.0,45.0,1.502,29.97002997002997,4,True,1920.0,1080.0
computer,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\12319.mp4,1,40.0,40.0,1.335,29.97002997002997,45,True,1920.0,1080.0
computer,asldeafined,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\12320.mp4,1,102.0,102.0,3.4,29.99705911185178,59,True,640.0,480.0
computer,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\12326.mp4,1,73.0,73.0,2.436,29.97,11,True,288.0,192.0
computer,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\12327.mp4,1,46.0,46.0,1.535,29.97,11,True,288.0,192.0
before,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\05728.mp4,1,26.0,26.0,1.084,23.976146807791224,32,True,1920.0,1080.0
before,aslsearch,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\05749.mp4,1,90.0,90.0,2.97,30.30708210204609,12,True,720.0,400.0
before,aslsearch,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\05750.mp4,1,100.0,100.0,3.303,30.27303306094001,12,True,720.0,400.0
before,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\05729.mp4,1,52.0,52.0,1.735,29.97002997002997,46,True,1920.0,1080.0
before,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\05730.mp4,1,31.0,31.0,1.293,23.97607548596669,32,True,1920.0,1080.0
before,aslsignbank,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\65167.mp4,1,58.0,58.0,2.419,23.976079038384693,88,True,656.0,370.0
before,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\05731.mp4,1,45.0,45.0,1.877,23.97613043014954,4,True,1920.0,1080.0
before,asldeafined,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\05732.mp4,1,86.0,86.0,2.866,30.00348877776485,13,True,640.0,480.0
before,asldeafined,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\05733.mp4,1,108.0,108.0,3.6,29.99722247940005,13,True,640.0,480.0
before,asldeafined,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\05734.mp4,1,81.0,81.0,2.7,29.996296753487226,13,True,640.0,480.0
before,startasl,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\05727.mp4,1,87.0,87.0,2.903,29.97002997002997,38,True,1280.0,720.0
before,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\05739.mp4,1,52.0,52.0,1.735,29.97,10,True,288.0,192.0
before,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\05740.mp4,1,50.0,50.0,1.668,29.97,10,True,288.0,192.0
before,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\05741.mp4,1,31.0,31.0,1.034,29.97,11,True,288.0,192.0
before,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\05742.mp4,1,28.0,28.0,0.934,29.97,11,True,288.0,192.0
before,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\05743.mp4,1,50.0,50.0,1.668,29.97,11,True,288.0,192.0
go,aslbrick,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\69345.mp4,1,67.0,67.0,2.236,29.97002997002997,118,True,1280.0,720.0
go,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\24955.mp4,1,61.0,61.0,2.035,29.97,10,True,288.0,192.0
go,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\24956.mp4,1,46.0,46.0,1.535,29.97,10,True,288.0,192.0
go,startasl,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\24941.mp4,1,66.0,66.0,2.202,29.97,36,True,736.0,414.0
go,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\24960.mp4,1,47.0,47.0,1.568,29.97,10,True,288.0,192.0
go,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\24961.mp4,1,47.0,47.0,1.568,29.97,10,True,288.0,192.0
go,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\24962.mp4,1,43.0,43.0,1.435,29.97,10,True,288.0,192.0
go,aslsignbank,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\65824.mp4,1,41.0,41.0,1.71,23.9761408159685,94,True,656.0,370.0
go,aslsearch,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\24973.mp4,1,108.0,108.0,3.57,30.250376171739923,41,True,720.0,400.0
go,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\24943.mp4,1,61.0,61.0,2.035,29.97002997002997,52,True,854.0,480.0
go,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\24946.mp4,1,33.0,33.0,1.376,23.97616914097503,31,True,1920.0,1080.0
go,asldeafined,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\24947.mp4,1,63.0,63.0,2.1,29.99523885097604,21,True,640.0,480.0
go,spreadthesign,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\24940.mp4,1,88.0,88.0,3.52,25.0,0,True,320.0,240.0
go,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\24952.mp4,1,34.0,34.0,1.134,29.97,10,True,288.0,192.0
go,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\24954.mp4,1,61.0,61.0,2.035,29.97,10,True,288.0,192.0
who,aslbrick,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\69534.mp4,1,63.0,63.0,2.102,29.97002997002997,118,True,1280.0,720.0
who,aslsearch,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\63242.mp4,1,86.0,86.0,2.836,30.322944975823244,12,True,720.0,400.0
who,startasl,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\63226.mp4,1,67.0,67.0,2.236,29.97,36,True,736.0,414.0
who,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\63227.mp4,1,36.0,36.0,1.201,29.97002997002997,6,True,1920.0,1080.0
who,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\63228.mp4,1,40.0,40.0,1.335,29.97002997002997,6,True,1920.0,1080.0
who,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\63229.mp4,1,47.0,47.0,1.96,23.9760579506422,4,True,1920.0,1080.0
who,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\63230.mp4,1,61.0,61.0,2.035,29.97002997002997,46,True,1920.0,1080.0
who,asldeafined,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\63231.mp4,1,93.0,93.0,3.1,29.996774540372,13,True,640.0,480.0
who,aslsignbank,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\66778.mp4,1,58.0,58.0,2.419,23.976079038384693,88,True,656.0,370.0
who,asldeafined,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\63232.mp4,1,155.0,155.0,5.167,30.0,59,True,640.0,480.0
who,aslsignbank,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\66779.mp4,1,54.0,54.0,2.252,23.97608311708814,88,True,656.0,370.0
who,spreadthesign,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\63225.mp4,1,111.0,111.0,3.704,29.97,42,True,320.0,240.0
who,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\63236.mp4,1,46.0,46.0,1.535,29.97,11,True,288.0,192.0
who,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\63237.mp4,1,47.0,47.0,1.568,29.97,11,True,288.0,192.0
candy,aslsearch,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\08929.mp4,1,82.0,82.0,2.703,30.340374572525587,12,True,720.0,400.0
candy,startasl,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\08916.mp4,1,88.0,88.0,2.936,29.97,36,True,736.0,414.0
candy,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\08917.mp4,1,32.0,32.0,1.068,29.97002997002997,39,True,1920.0,1080.0
candy,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\08918.mp4,1,30.0,30.0,1.001,29.97002997002997,39,True,1920.0,1080.0
candy,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\08919.mp4,1,86.0,86.0,2.87,29.97002997002997,4,True,1920.0,1080.0
candy,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\08920.mp4,1,75.0,75.0,2.502,29.97002997002997,4,True,1920.0,1080.0
candy,asldeafined,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\08921.mp4,1,58.0,58.0,1.933,30.0,17,True,640.0,480.0
candy,aslsignbank,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\65298.mp4,1,59.0,59.0,2.461,23.97605104054256,90,True,656.0,370.0
candy,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\08924.mp4,1,28.0,28.0,0.934,29.97,11,True,288.0,192.0
candy,aslsignbank,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\65299.mp4,1,62.0,62.0,2.586,23.97607548596669,90,True,656.0,370.0
candy,aslsignbank,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\65300.mp4,1,64.0,64.0,2.669,23.976023976023978,89,True,656.0,370.0
candy,spreadthesign,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\08915.mp4,1,94.0,94.0,3.136,29.97,56,True,320.0,240.0
candy,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\08925.mp4,1,42.0,42.0,1.401,29.97,11,True,288.0,192.0
